method,num_trials,num_tasks,sink,window,heavy,evict_period,tag,source_file,task_id,reward,termination_reason
h2o,1,10,4,64,32,1,task10,stress_h2o_1x10_s4_w64_h32_ep1_task10.json,0,1.0,user_stop
h2o,1,10,4,64,32,1,task10_1st,stress_h2o_1x10_s4_w64_h32_ep1_task10_1st.json,0,1.0,user_stop
h2o,1,10,4,64,32,1,task10,stress_h2o_1x10_s4_w64_h32_ep1_task10.json,1,1.0,user_stop
h2o,1,10,4,64,32,1,task10_1st,stress_h2o_1x10_s4_w64_h32_ep1_task10_1st.json,1,0.0,task_timeout
h2o,1,10,4,64,32,1,task10_1st,stress_h2o_1x10_s4_w64_h32_ep1_task10_1st.json,10,1.0,user_stop
h2o,1,10,4,64,32,1,task10_1st,stress_h2o_1x10_s4_w64_h32_ep1_task10_1st.json,13,1.0,user_stop
h2o,1,10,4,64,32,1,task10_1st,stress_h2o_1x10_s4_w64_h32_ep1_task10_1st.json,26,0.0,task_timeout
h2o,1,10,4,64,32,1,task10_1st,stress_h2o_1x10_s4_w64_h32_ep1_task10_1st.json,28,0.0,task_timeout
h2o,1,10,4,64,32,1,task10_1st,stress_h2o_1x10_s4_w64_h32_ep1_task10_1st.json,3,0.0,task_timeout
h2o,1,10,4,64,32,1,task10_1st,stress_h2o_1x10_s4_w64_h32_ep1_task10_1st.json,4,0.0,task_timeout
h2o,1,10,4,64,32,1,task10_1st,stress_h2o_1x10_s4_w64_h32_ep1_task10_1st.json,5,0.0,task_timeout
h2o,1,10,4,64,32,1,task10_1st,stress_h2o_1x10_s4_w64_h32_ep1_task10_1st.json,6,1.0,user_stop
h2o,1,10,4,64,32,2,task10_1st,stress_h2o_1x10_s4_w64_h32_ep2_task10_1st.json,0,1.0,user_stop
h2o,1,10,4,64,32,2,task10_1st,stress_h2o_1x10_s4_w64_h32_ep2_task10_1st.json,1,1.0,user_stop
h2o,1,10,4,64,32,2,task10_1st,stress_h2o_1x10_s4_w64_h32_ep2_task10_1st.json,10,0.0,task_timeout
h2o,1,10,4,64,32,2,task10_1st,stress_h2o_1x10_s4_w64_h32_ep2_task10_1st.json,13,1.0,user_stop
h2o,1,10,4,64,32,2,task10_1st,stress_h2o_1x10_s4_w64_h32_ep2_task10_1st.json,26,1.0,user_stop
h2o,1,10,4,64,32,2,task10_1st,stress_h2o_1x10_s4_w64_h32_ep2_task10_1st.json,28,0.0,task_timeout
h2o,1,10,4,64,32,2,task10_1st,stress_h2o_1x10_s4_w64_h32_ep2_task10_1st.json,3,0.0,task_timeout
h2o,1,10,4,64,32,2,task10_1st,stress_h2o_1x10_s4_w64_h32_ep2_task10_1st.json,4,0.0,task_timeout
h2o,1,10,4,64,32,2,task10_1st,stress_h2o_1x10_s4_w64_h32_ep2_task10_1st.json,5,1.0,user_stop
h2o,1,10,4,64,32,2,task10_1st,stress_h2o_1x10_s4_w64_h32_ep2_task10_1st.json,6,1.0,user_stop
h2o,1,10,4,64,32,4,task10_1st,stress_h2o_1x10_s4_w64_h32_ep4_task10_1st.json,0,1.0,user_stop
h2o,1,10,4,64,32,4,task10_1st,stress_h2o_1x10_s4_w64_h32_ep4_task10_1st.json,1,1.0,user_stop
h2o,1,10,4,64,32,4,task10_1st,stress_h2o_1x10_s4_w64_h32_ep4_task10_1st.json,10,0.0,task_timeout
h2o,1,10,4,64,32,4,task10_1st,stress_h2o_1x10_s4_w64_h32_ep4_task10_1st.json,13,0.0,task_timeout
h2o,1,10,4,64,32,4,task10_1st,stress_h2o_1x10_s4_w64_h32_ep4_task10_1st.json,26,0.0,task_timeout
h2o,1,10,4,64,32,4,task10_1st,stress_h2o_1x10_s4_w64_h32_ep4_task10_1st.json,28,1.0,user_stop
h2o,1,10,4,64,32,4,task10_1st,stress_h2o_1x10_s4_w64_h32_ep4_task10_1st.json,3,0.0,task_timeout
h2o,1,10,4,64,32,4,task10_1st,stress_h2o_1x10_s4_w64_h32_ep4_task10_1st.json,4,1.0,user_stop
h2o,1,10,4,64,32,4,task10_1st,stress_h2o_1x10_s4_w64_h32_ep4_task10_1st.json,5,1.0,user_stop
h2o,1,10,4,64,32,4,task10_1st,stress_h2o_1x10_s4_w64_h32_ep4_task10_1st.json,6,1.0,user_stop
h2o,1,10,4,64,32,8,task10_1st,stress_h2o_1x10_s4_w64_h32_ep8_task10_1st.json,0,1.0,user_stop
h2o,1,10,4,64,32,8,task10_1st,stress_h2o_1x10_s4_w64_h32_ep8_task10_1st.json,1,1.0,user_stop
h2o,1,10,4,64,32,8,task10_1st,stress_h2o_1x10_s4_w64_h32_ep8_task10_1st.json,10,0.0,task_timeout
h2o,1,10,4,64,32,8,task10_1st,stress_h2o_1x10_s4_w64_h32_ep8_task10_1st.json,13,0.0,task_timeout
h2o,1,10,4,64,32,8,task10_1st,stress_h2o_1x10_s4_w64_h32_ep8_task10_1st.json,26,1.0,user_stop
h2o,1,10,4,64,32,8,task10_1st,stress_h2o_1x10_s4_w64_h32_ep8_task10_1st.json,28,1.0,user_stop
h2o,1,10,4,64,32,8,task10_1st,stress_h2o_1x10_s4_w64_h32_ep8_task10_1st.json,3,0.0,task_timeout
h2o,1,10,4,64,32,8,task10_1st,stress_h2o_1x10_s4_w64_h32_ep8_task10_1st.json,4,1.0,user_stop
h2o,1,10,4,64,32,8,task10_1st,stress_h2o_1x10_s4_w64_h32_ep8_task10_1st.json,5,1.0,user_stop
h2o,1,10,4,64,32,8,task10_1st,stress_h2o_1x10_s4_w64_h32_ep8_task10_1st.json,6,1.0,user_stop
h2o,1,10,4,64,32,12,task10_1st,stress_h2o_1x10_s4_w64_h32_ep12_task10_1st.json,0,1.0,user_stop
h2o,1,10,4,64,32,12,task10_1st,stress_h2o_1x10_s4_w64_h32_ep12_task10_1st.json,1,1.0,user_stop
h2o,1,10,4,64,32,12,task10_1st,stress_h2o_1x10_s4_w64_h32_ep12_task10_1st.json,10,1.0,user_stop
h2o,1,10,4,64,32,12,task10_1st,stress_h2o_1x10_s4_w64_h32_ep12_task10_1st.json,13,1.0,user_stop
h2o,1,10,4,64,32,12,task10_1st,stress_h2o_1x10_s4_w64_h32_ep12_task10_1st.json,26,1.0,user_stop
h2o,1,10,4,64,32,12,task10_1st,stress_h2o_1x10_s4_w64_h32_ep12_task10_1st.json,28,1.0,user_stop
h2o,1,10,4,64,32,12,task10_1st,stress_h2o_1x10_s4_w64_h32_ep12_task10_1st.json,3,1.0,user_stop
h2o,1,10,4,64,32,12,task10_1st,stress_h2o_1x10_s4_w64_h32_ep12_task10_1st.json,4,1.0,user_stop
h2o,1,10,4,64,32,12,task10_1st,stress_h2o_1x10_s4_w64_h32_ep12_task10_1st.json,5,0.0,task_timeout
h2o,1,10,4,64,32,12,task10_1st,stress_h2o_1x10_s4_w64_h32_ep12_task10_1st.json,6,1.0,user_stop
h2o,1,10,4,64,32,16,task10_1st,stress_h2o_1x10_s4_w64_h32_ep16_task10_1st.json,0,1.0,user_stop
h2o,1,10,4,64,32,16,task10_1st,stress_h2o_1x10_s4_w64_h32_ep16_task10_1st.json,1,1.0,user_stop
h2o,1,10,4,64,32,16,task10_1st,stress_h2o_1x10_s4_w64_h32_ep16_task10_1st.json,10,1.0,user_stop
h2o,1,10,4,64,32,16,task10_1st,stress_h2o_1x10_s4_w64_h32_ep16_task10_1st.json,13,0.0,task_timeout
h2o,1,10,4,64,32,16,task10_1st,stress_h2o_1x10_s4_w64_h32_ep16_task10_1st.json,26,1.0,user_stop
h2o,1,10,4,64,32,16,task10_1st,stress_h2o_1x10_s4_w64_h32_ep16_task10_1st.json,28,1.0,user_stop
h2o,1,10,4,64,32,16,task10_1st,stress_h2o_1x10_s4_w64_h32_ep16_task10_1st.json,3,1.0,user_stop
h2o,1,10,4,64,32,16,task10_1st,stress_h2o_1x10_s4_w64_h32_ep16_task10_1st.json,4,1.0,user_stop
h2o,1,10,4,64,32,16,task10_1st,stress_h2o_1x10_s4_w64_h32_ep16_task10_1st.json,5,0.0,task_timeout
h2o,1,10,4,64,32,16,task10_1st,stress_h2o_1x10_s4_w64_h32_ep16_task10_1st.json,6,1.0,user_stop
