sim_id,task_id,target_assistant_idx,target_preview,context_messages,seq_len,score_mode,message_index,role,fine_role,assistant_turn_distance,token_count,candidate_tokens,kept_tokens,heavy_kept_tokens,kept_fraction,heavy_kept_fraction,score_sum,message_preview,was_reactivated,was_reactivated_as_heavy
308782ac-c4d,3,8,I have retrieved your reservation details. Here is the information regarding ...,8,260,zero,0,assistant,asst_greeting,3,11,7,4,0,0.36363636363636365,0.0,0.0,Hi! How can I help you today?,False,False
308782ac-c4d,3,8,I have retrieved your reservation details. Here is the information regarding ...,8,260,zero,1,user,user_msg,3,48,48,0,0,0.0,0.0,0.0,"Hi, I need to know exactly how many suitcases I can bring on my upcoming flig...",False,False
308782ac-c4d,3,8,I have retrieved your reservation details. Here is the information regarding ...,8,260,zero,2,assistant,asst_gen,2,39,39,30,30,0.7692307692307693,0.7692307692307693,0.0,To help you determine how many suitcases you can bring on your upcoming fligh...,False,False
308782ac-c4d,3,8,I have retrieved your reservation details. Here is the information regarding ...,8,260,zero,3,user,user_msg,2,17,17,17,17,1.0,1.0,0.0,"Sure, my user ID is anya_garcia_5901.",False,False
308782ac-c4d,3,8,I have retrieved your reservation details. Here is the information regarding ...,8,260,zero,4,assistant,asst_gen,1,35,17,35,17,1.0,1.0,0.0,Thank you for providing your user ID. Could you please provide your reservati...,False,False
308782ac-c4d,3,8,I have retrieved your reservation details. Here is the information regarding ...,8,260,zero,5,user,user_msg,1,12,0,12,0,1.0,0.0,0.0,"Yes, my confirmation number is JMO1MG.",False,False
308782ac-c4d,3,8,I have retrieved your reservation details. Here is the information regarding ...,8,260,zero,6,assistant,asst_tool_call,0,50,0,50,0,1.0,0.0,0.0,Thank you. Let me look up the details of your reservation with ID JMO1MG. ```...,False,False
308782ac-c4d,3,8,I have retrieved your reservation details. Here is the information regarding ...,8,260,zero,7,user,user_msg,0,41,0,41,0,1.0,0.0,0.0,"Okay, please let me know the total number of suitcases I can bring. I’d reall...",False,False
308782ac-c4d,3,8,I have retrieved your reservation details. Here is the information regarding ...,8,260,role_decay,0,assistant,asst_greeting,3,11,7,11,7,1.0,1.0,11.591263771057129,Hi! How can I help you today?,False,False
308782ac-c4d,3,8,I have retrieved your reservation details. Here is the information regarding ...,8,260,role_decay,1,user,user_msg,3,48,48,23,23,0.4791666666666667,0.4791666666666667,5.520946979522705,"Hi, I need to know exactly how many suitcases I can bring on my upcoming flig...",False,False
308782ac-c4d,3,8,I have retrieved your reservation details. Here is the information regarding ...,8,260,role_decay,2,assistant,asst_gen,2,39,39,0,0,0.0,0.0,3.8934943675994873,To help you determine how many suitcases you can bring on your upcoming fligh...,False,False
308782ac-c4d,3,8,I have retrieved your reservation details. Here is the information regarding ...,8,260,role_decay,3,user,user_msg,2,17,17,17,17,1.0,1.0,2.182749032974243,"Sure, my user ID is anya_garcia_5901.",False,False
308782ac-c4d,3,8,I have retrieved your reservation details. Here is the information regarding ...,8,260,role_decay,4,assistant,asst_gen,1,35,17,35,17,1.0,1.0,5.9553117752075195,Thank you for providing your user ID. Could you please provide your reservati...,False,False
308782ac-c4d,3,8,I have retrieved your reservation details. Here is the information regarding ...,8,260,role_decay,5,user,user_msg,1,12,0,12,0,1.0,0.0,1.7199612855911255,"Yes, my confirmation number is JMO1MG.",False,False
308782ac-c4d,3,8,I have retrieved your reservation details. Here is the information regarding ...,8,260,role_decay,6,assistant,asst_tool_call,0,50,0,50,0,1.0,0.0,72.5,Thank you. Let me look up the details of your reservation with ID JMO1MG. ```...,False,False
308782ac-c4d,3,8,I have retrieved your reservation details. Here is the information regarding ...,8,260,role_decay,7,user,user_msg,0,41,0,41,0,1.0,0.0,6.560000419616699,"Okay, please let me know the total number of suitcases I can bring. I’d reall...",False,False
308782ac-c4d,3,10,"Yes, that is correct. As a Gold member flying in Business class, you are enti...",10,427,zero,0,assistant,asst_greeting,4,11,7,4,0,0.36363636363636365,0.0,0.0,Hi! How can I help you today?,False,False
308782ac-c4d,3,10,"Yes, that is correct. As a Gold member flying in Business class, you are enti...",10,427,zero,1,user,user_msg,4,48,48,0,0,0.0,0.0,0.0,"Hi, I need to know exactly how many suitcases I can bring on my upcoming flig...",False,False
308782ac-c4d,3,10,"Yes, that is correct. As a Gold member flying in Business class, you are enti...",10,427,zero,2,assistant,asst_gen,3,39,39,0,0,0.0,0.0,0.0,To help you determine how many suitcases you can bring on your upcoming fligh...,False,False
308782ac-c4d,3,10,"Yes, that is correct. As a Gold member flying in Business class, you are enti...",10,427,zero,3,user,user_msg,3,17,17,0,0,0.0,0.0,0.0,"Sure, my user ID is anya_garcia_5901.",False,False
308782ac-c4d,3,10,"Yes, that is correct. As a Gold member flying in Business class, you are enti...",10,427,zero,4,assistant,asst_gen,2,35,35,0,0,0.0,0.0,0.0,Thank you for providing your user ID. Could you please provide your reservati...,False,False
308782ac-c4d,3,10,"Yes, that is correct. As a Gold member flying in Business class, you are enti...",10,427,zero,5,user,user_msg,2,12,12,0,0,0.0,0.0,0.0,"Yes, my confirmation number is JMO1MG.",False,False
308782ac-c4d,3,10,"Yes, that is correct. As a Gold member flying in Business class, you are enti...",10,427,zero,6,assistant,asst_tool_call,1,50,50,0,0,0.0,0.0,0.0,Thank you. Let me look up the details of your reservation with ID JMO1MG. ```...,False,False
308782ac-c4d,3,10,"Yes, that is correct. As a Gold member flying in Business class, you are enti...",10,427,zero,7,user,user_msg,1,41,41,18,18,0.43902439024390244,0.43902439024390244,0.0,"Okay, please let me know the total number of suitcases I can bring. I’d reall...",False,True
308782ac-c4d,3,10,"Yes, that is correct. As a Gold member flying in Business class, you are enti...",10,427,zero,8,assistant,asst_gen,0,129,46,129,46,1.0,1.0,0.0,I have retrieved your reservation details. Here is the information regarding ...,False,False
308782ac-c4d,3,10,"Yes, that is correct. As a Gold member flying in Business class, you are enti...",10,427,zero,9,user,user_msg,0,38,0,38,0,1.0,0.0,0.0,"Thank you for the clear information. So just to confirm, I can bring 4 suitca...",False,False
308782ac-c4d,3,10,"Yes, that is correct. As a Gold member flying in Business class, you are enti...",10,427,role_decay,0,assistant,asst_greeting,4,11,7,11,7,1.0,1.0,11.099830627441406,Hi! How can I help you today?,False,False
308782ac-c4d,3,10,"Yes, that is correct. As a Gold member flying in Business class, you are enti...",10,427,role_decay,1,user,user_msg,4,48,48,0,0,0.0,0.0,4.945736408233643,"Hi, I need to know exactly how many suitcases I can bring on my upcoming flig...",False,False
308782ac-c4d,3,10,"Yes, that is correct. As a Gold member flying in Business class, you are enti...",10,427,role_decay,2,assistant,asst_gen,3,39,39,0,0,0.0,0.0,2.284430742263794,To help you determine how many suitcases you can bring on your upcoming fligh...,False,False
308782ac-c4d,3,10,"Yes, that is correct. As a Gold member flying in Business class, you are enti...",10,427,role_decay,3,user,user_msg,3,17,17,0,0,0.0,0.0,1.9553356170654297,"Sure, my user ID is anya_garcia_5901.",False,False
308782ac-c4d,3,10,"Yes, that is correct. As a Gold member flying in Business class, you are enti...",10,427,role_decay,4,assistant,asst_gen,2,35,35,0,0,0.0,0.0,3.494161605834961,Thank you for providing your user ID. Could you please provide your reservati...,False,False
308782ac-c4d,3,10,"Yes, that is correct. As a Gold member flying in Business class, you are enti...",10,427,role_decay,5,user,user_msg,2,12,12,0,0,0.0,0.0,1.5407639741897583,"Yes, my confirmation number is JMO1MG.",False,False
308782ac-c4d,3,10,"Yes, that is correct. As a Gold member flying in Business class, you are enti...",10,427,role_decay,6,assistant,asst_tool_call,1,50,50,50,50,1.0,1.0,30.482498168945312,Thank you. Let me look up the details of your reservation with ID JMO1MG. ```...,False,True
308782ac-c4d,3,10,"Yes, that is correct. As a Gold member flying in Business class, you are enti...",10,427,role_decay,7,user,user_msg,1,41,41,0,0,0.0,0.0,5.876534461975098,"Okay, please let me know the total number of suitcases I can bring. I’d reall...",False,False
308782ac-c4d,3,10,"Yes, that is correct. As a Gold member flying in Business class, you are enti...",10,427,role_decay,8,assistant,asst_gen,0,129,46,90,7,0.6976744186046512,0.15217391304347827,37.409996032714844,I have retrieved your reservation details. Here is the information regarding ...,False,False
308782ac-c4d,3,10,"Yes, that is correct. As a Gold member flying in Business class, you are enti...",10,427,role_decay,9,user,user_msg,0,38,0,38,0,1.0,0.0,6.079998970031738,"Thank you for the clear information. So just to confirm, I can bring 4 suitca...",False,False
