score_mode,target_assistant_turn,source_assistant_turn,fine_role,samples,token_count_sum,candidate_tokens_sum,kept_tokens_sum,heavy_kept_tokens_sum,weighted_kept_fraction,weighted_heavy_kept_fraction,reactivated_as_heavy_rate
role_decay,5,1,asst_greeting,1.0,11.0,7.0,11.0,7.0,1.0,1.0,0.0
role_decay,5,1,user_msg,1.0,48.0,48.0,23.0,23.0,0.4791666666666667,0.4791666666666667,0.0
role_decay,5,2,asst_gen,1.0,39.0,39.0,0.0,0.0,0.0,0.0,0.0
role_decay,5,2,user_msg,1.0,17.0,17.0,17.0,17.0,1.0,1.0,0.0
role_decay,5,3,asst_gen,1.0,35.0,17.0,35.0,17.0,1.0,1.0,0.0
role_decay,5,3,user_msg,1.0,12.0,0.0,12.0,0.0,1.0,0.0,0.0
role_decay,6,1,asst_greeting,1.0,11.0,7.0,11.0,7.0,1.0,1.0,0.0
role_decay,6,1,user_msg,1.0,48.0,48.0,0.0,0.0,0.0,0.0,0.0
role_decay,6,2,asst_gen,1.0,39.0,39.0,0.0,0.0,0.0,0.0,0.0
role_decay,6,2,user_msg,1.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0
role_decay,6,3,asst_gen,1.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0
role_decay,6,3,user_msg,1.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0
role_decay,6,4,asst_tool_call,1.0,50.0,50.0,50.0,50.0,1.0,1.0,1.0
role_decay,6,4,user_msg,1.0,41.0,41.0,0.0,0.0,0.0,0.0,0.0
zero,5,1,asst_greeting,1.0,11.0,7.0,4.0,0.0,0.36363636363636365,0.0,0.0
zero,5,1,user_msg,1.0,48.0,48.0,0.0,0.0,0.0,0.0,0.0
zero,5,2,asst_gen,1.0,39.0,39.0,30.0,30.0,0.7692307692307693,0.7692307692307693,0.0
zero,5,2,user_msg,1.0,17.0,17.0,17.0,17.0,1.0,1.0,0.0
zero,5,3,asst_gen,1.0,35.0,17.0,35.0,17.0,1.0,1.0,0.0
zero,5,3,user_msg,1.0,12.0,0.0,12.0,0.0,1.0,0.0,0.0
zero,6,1,asst_greeting,1.0,11.0,7.0,4.0,0.0,0.36363636363636365,0.0,0.0
zero,6,1,user_msg,1.0,48.0,48.0,0.0,0.0,0.0,0.0,0.0
zero,6,2,asst_gen,1.0,39.0,39.0,0.0,0.0,0.0,0.0,0.0
zero,6,2,user_msg,1.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0
zero,6,3,asst_gen,1.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0
zero,6,3,user_msg,1.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0
zero,6,4,asst_tool_call,1.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0
zero,6,4,user_msg,1.0,41.0,41.0,18.0,18.0,0.43902439024390244,0.43902439024390244,1.0
