method,sink,window,heavy,ep,budget,avg_reward,avg_duration,n_tasks,n_success
baseline,4,0,0,1,4,0.9,187.68866448306943,10,9
h2o,4,128,128,16,260,0.9,324.6378598102718,10,9
h2o,4,128,128,1,260,0.7,351.0695700109121,10,7
h2o,4,128,128,4,260,0.9,272.6020887893043,10,9
h2o,4,256,256,16,516,1.0,153.20939067649888,10,10
h2o,4,256,256,1,516,1.0,241.54897258651908,10,10
h2o,4,256,256,4,516,1.0,218.23800395858706,10,10
h2o,4,64,64,16,132,0.9,220.7600979408715,10,9
h2o,4,64,64,1,132,0.8,450.6324457093957,10,8
h2o,4,64,64,4,132,0.8,425.8609166034963,10,8
streamingllm,4,128,0,16,132,0.9,313.3789415820036,10,9
streamingllm,4,128,0,1,132,0.6,524.5983117844095,10,6
streamingllm,4,128,0,4,132,0.4,595.177053309197,10,4
streamingllm,4,256,0,16,260,0.8,408.5565598078072,10,8
streamingllm,4,256,0,1,260,0.8,369.36199532222236,10,8
streamingllm,4,256,0,4,260,0.8,393.0730777483783,10,8
streamingllm,4,512,0,16,516,0.9,213.62625236122403,10,9
streamingllm,4,512,0,1,516,0.9,214.68933957131813,10,9
streamingllm,4,512,0,4,516,0.8,310.52291255799355,10,8
