method,sink,window,heavy,total_budget,total_task_instances,total_correct,acc
h2o,4.0,32.0,32.0,68.0,20,11.0,0.55
h2o,4.0,64.0,32.0,100.0,20,17.0,0.85
h2o,4.0,96.0,32.0,132.0,10,9.0,0.9
h2o,4.0,128.0,32.0,164.0,20,15.0,0.75
h2o,4.0,128.0,64.0,196.0,20,18.0,0.9
h2o,4.0,192.0,32.0,228.0,10,9.0,0.9
h2o,4.0,128.0,128.0,260.0,20,18.0,0.9
h2o,4.0,256.0,32.0,292.0,10,10.0,1.0
h2o,4.0,256.0,64.0,324.0,10,10.0,1.0
h2o,4.0,96.0,256.0,356.0,10,9.0,0.9
h2o,4.0,256.0,128.0,388.0,10,10.0,1.0
h2o,4.0,192.0,256.0,452.0,10,9.0,0.9
h2o,4.0,256.0,256.0,516.0,10,10.0,1.0
h2o,4.0,512.0,32.0,548.0,20,19.0,0.95
h2o,4.0,512.0,64.0,580.0,20,18.0,0.9
h2o,4.0,512.0,128.0,644.0,20,20.0,1.0
h2o,4.0,512.0,256.0,772.0,20,20.0,1.0
h2o,4.0,1024.0,64.0,1092.0,10,10.0,1.0
