task_id,method,total_task_instances,total_correct,acc
0,baseline,8,8.0,1.0
0,h2o,44,39.0,0.8863636363636364
0,streamingllm,10,8.0,0.8
1,baseline,8,8.0,1.0
1,h2o,44,41.0,0.9318181818181818
1,streamingllm,10,9.0,0.9
3,baseline,8,7.0,0.875
3,h2o,44,21.0,0.4772727272727273
3,streamingllm,10,7.0,0.7
4,baseline,8,8.0,1.0
4,h2o,44,41.0,0.9318181818181818
4,streamingllm,10,7.0,0.7
5,baseline,8,6.0,0.75
5,h2o,44,33.0,0.75
5,streamingllm,10,6.0,0.6
6,baseline,8,8.0,1.0
6,h2o,44,42.0,0.9545454545454546
6,streamingllm,10,5.0,0.5
10,baseline,8,8.0,1.0
10,h2o,44,40.0,0.9090909090909091
10,streamingllm,10,7.0,0.7
13,baseline,8,8.0,1.0
13,h2o,44,42.0,0.9545454545454546
13,streamingllm,10,9.0,0.9
26,baseline,8,8.0,1.0
26,h2o,44,40.0,0.9090909090909091
26,streamingllm,10,10.0,1.0
28,baseline,8,8.0,1.0
28,h2o,44,37.0,0.8409090909090909
28,streamingllm,10,3.0,0.3
